CMDLINE /Users/georgeanton/Desktop/Interviews/blogs/advanced_concepts/python_concepts/venv/bin/python3.10 particle.py
MEM 73.460938 1676511450.0566
MEM 73.460938 1676511450.1599
MEM 73.460938 1676511450.2605
MEM 73.460938 1676511450.3632
MEM 73.460938 1676511450.4681
MEM 73.460938 1676511450.5699
MEM 73.460938 1676511450.6743
MEM 73.460938 1676511450.7751
MEM 73.460938 1676511450.8794
MEM 73.460938 1676511450.9825
MEM 73.460938 1676511451.0870
MEM 73.460938 1676511451.1911
MEM 73.460938 1676511451.2914
MEM 73.460938 1676511451.3935
MEM 73.460938 1676511451.4969
MEM 73.460938 1676511451.6020
MEM 73.460938 1676511451.7060
MEM 73.460938 1676511451.8068
MEM 73.460938 1676511451.9103
MEM 73.460938 1676511452.0135
MEM 73.460938 1676511452.1186
MEM 73.460938 1676511452.2237
MEM 73.460938 1676511452.3281
MEM 73.460938 1676511452.4319
MEM 73.460938 1676511452.5349
MEM 73.460938 1676511452.6396
MEM 73.460938 1676511452.7423
MEM 73.460938 1676511452.8468
MEM 73.460938 1676511452.9520
MEM 73.460938 1676511453.0567
MEM 73.460938 1676511453.1614
MEM 73.460938 1676511453.2638
MEM 73.460938 1676511453.3677
MEM 73.460938 1676511453.4726
MEM 73.460938 1676511453.5772
MEM 73.460938 1676511453.6822
MEM 73.460938 1676511453.7868
MEM 73.460938 1676511453.8897
MEM 73.460938 1676511453.9943
MEM 73.460938 1676511454.0987
MEM 73.460938 1676511454.2022
MEM 73.460938 1676511454.3070
MEM 73.460938 1676511454.4098
MEM 73.460938 1676511454.5128
MEM 73.460938 1676511454.6173
MEM 73.460938 1676511454.7212
MEM 73.460938 1676511454.8258
MEM 73.460938 1676511454.9304
MEM 73.460938 1676511455.0316
MEM 73.460938 1676511455.1355
MEM 73.460938 1676511455.2402
MEM 73.460938 1676511455.3404
MEM 73.460938 1676511455.4408
MEM 73.460938 1676511455.5428
MEM 73.460938 1676511455.6452
MEM 73.460938 1676511455.7502
MEM 73.460938 1676511455.8515
MEM 73.460938 1676511455.9560
MEM 73.460938 1676511456.0567
MEM 73.460938 1676511456.1617
MEM 73.460938 1676511456.2670
MEM 73.460938 1676511456.3708
MEM 73.460938 1676511456.4726
MEM 73.460938 1676511456.5764
MEM 73.460938 1676511456.6792
MEM 73.460938 1676511456.7804
MEM 73.460938 1676511456.8850
MEM 73.460938 1676511456.9890
MEM 73.460938 1676511457.0942
MEM 73.460938 1676511457.1949
MEM 73.460938 1676511457.3001
MEM 73.460938 1676511457.4045
MEM 73.460938 1676511457.5086
MEM 73.460938 1676511457.6121
MEM 73.460938 1676511457.7173
MEM 73.460938 1676511457.8196
MEM 73.460938 1676511457.9231
MEM 73.460938 1676511458.0273
MEM 73.460938 1676511458.1306
