CMDLINE /Users/georgeanton/Desktop/Interviews/blogs/advanced_concepts/python_concepts/venv/bin/python3.10 particle.py
MEM 0.292969 1676511368.2038
MEM 16.191406 1676511368.3085
MEM 33.695312 1676511368.4092
MEM 41.324219 1676511368.5125
MEM 47.269531 1676511368.6162
MEM 63.062500 1676511368.7197
MEM 80.625000 1676511368.8227
MEM 94.199219 1676511368.9230
MEM 110.144531 1676511369.0255
MEM 129.785156 1676511369.1275
MEM 147.300781 1676511369.2305
MEM 159.675781 1676511369.3352
MEM 184.093750 1676511369.4387
MEM 191.222656 1676511369.5431
MEM 212.699219 1676511369.6466
MEM 229.128906 1676511369.7507
MEM 242.367188 1676511369.8556
MEM 268.949219 1676511369.9589
MEM 278.113281 1676511370.0599
MEM 292.832031 1676511370.1633
MEM 305.992188 1676511370.2658
MEM 305.992188 1676511370.3709
MEM 305.992188 1676511370.4722
MEM 305.992188 1676511370.5764
MEM 305.992188 1676511370.6811
MEM 305.992188 1676511370.7814
MEM 305.992188 1676511370.8862
MEM 305.992188 1676511370.9890
MEM 305.992188 1676511371.0939
MEM 305.992188 1676511371.1973
MEM 305.992188 1676511371.2997
MEM 305.992188 1676511371.4036
MEM 305.992188 1676511371.5056
MEM 305.992188 1676511371.6089
MEM 305.992188 1676511371.7132
MEM 305.992188 1676511371.8168
MEM 305.992188 1676511371.9219
MEM 305.992188 1676511372.0271
MEM 305.992188 1676511372.1291
MEM 305.992188 1676511372.2327
MEM 305.992188 1676511372.3371
MEM 305.992188 1676511372.4398
MEM 305.992188 1676511372.5432
MEM 305.992188 1676511372.6446
MEM 305.992188 1676511372.7454
MEM 305.992188 1676511372.8504
MEM 305.992188 1676511372.9551
MEM 305.992188 1676511373.0564
MEM 305.992188 1676511373.1588
MEM 305.992188 1676511373.2598
MEM 305.992188 1676511373.3601
MEM 305.992188 1676511373.4615
MEM 305.992188 1676511373.5645
MEM 305.992188 1676511373.6680
MEM 305.992188 1676511373.7724
MEM 305.992188 1676511373.8767
MEM 305.992188 1676511373.9773
MEM 305.992188 1676511374.0815
MEM 305.992188 1676511374.1835
MEM 305.992188 1676511374.2848
MEM 305.992188 1676511374.3897
MEM 305.992188 1676511374.4940
MEM 305.992188 1676511374.5962
