CMDLINE /Users/georgeanton/Desktop/Interviews/blogs/advanced_concepts/python_concepts/venv/bin/python3.10 particle.py
MEM 0.269531 1676512376.0421
MEM 16.062500 1676512376.1461
MEM 32.445312 1676512376.2467
MEM 40.070312 1676512376.3474
MEM 45.875000 1676512376.4516
MEM 55.851562 1676512376.5561
MEM 69.925781 1676512376.6602
MEM 73.832031 1676512376.7645
MEM 73.832031 1676512376.8672
MEM 73.832031 1676512376.9680
MEM 73.832031 1676512377.0711
MEM 73.832031 1676512377.1723
MEM 73.832031 1676512377.2740
MEM 73.832031 1676512377.3769
MEM 73.832031 1676512377.4777
MEM 73.832031 1676512377.5824
MEM 73.832031 1676512377.6866
MEM 73.832031 1676512377.7874
MEM 73.832031 1676512377.8878
MEM 73.832031 1676512377.9925
MEM 73.832031 1676512378.0976
MEM 73.832031 1676512378.2009
MEM 73.832031 1676512378.3057
MEM 73.832031 1676512378.4099
MEM 73.832031 1676512378.5103
MEM 73.832031 1676512378.6108
MEM 73.832031 1676512378.7157
MEM 73.832031 1676512378.8192
MEM 73.832031 1676512378.9262
MEM 73.832031 1676512379.0270
MEM 73.832031 1676512379.1320
MEM 73.832031 1676512379.2369
MEM 73.832031 1676512379.3392
MEM 73.832031 1676512379.4431
MEM 73.832031 1676512379.5482
MEM 73.832031 1676512379.6504
MEM 73.832031 1676512379.7551
MEM 73.832031 1676512379.8599
MEM 73.832031 1676512379.9645
MEM 73.832031 1676512380.0669
MEM 73.832031 1676512380.1683
MEM 73.832031 1676512380.2733
MEM 73.832031 1676512380.3773
MEM 73.832031 1676512380.4786
MEM 73.832031 1676512380.5808
MEM 73.832031 1676512380.6818
MEM 73.832031 1676512380.7828
MEM 73.832031 1676512380.8870
MEM 73.832031 1676512380.9877
MEM 73.832031 1676512381.0879
MEM 73.832031 1676512381.1895
MEM 73.832031 1676512381.2947
MEM 73.832031 1676512381.3961
MEM 73.832031 1676512381.4973
MEM 73.832031 1676512381.5977
MEM 73.832031 1676512381.7000
MEM 73.832031 1676512381.8051
MEM 73.832031 1676512381.9056
MEM 73.832031 1676512382.0062
MEM 73.832031 1676512382.1068
MEM 73.832031 1676512382.2109
MEM 73.832031 1676512382.3152
MEM 73.832031 1676512382.4171
MEM 73.832031 1676512382.5175
MEM 73.832031 1676512382.6212
MEM 73.832031 1676512382.7263
MEM 73.832031 1676512382.8314
MEM 73.832031 1676512382.9363
MEM 73.832031 1676512383.0381
MEM 73.832031 1676512383.1428
MEM 73.832031 1676512383.2454
MEM 73.832031 1676512383.3506
MEM 73.832031 1676512383.4552
MEM 73.832031 1676512383.5600
MEM 73.832031 1676512383.6615
MEM 73.832031 1676512383.7664
MEM 73.832031 1676512383.8671
MEM 73.832031 1676512383.9704
MEM 73.832031 1676512384.0719
MEM 73.832031 1676512384.1750
MEM 73.832031 1676512384.2798
MEM 73.832031 1676512384.3830
MEM 73.832031 1676512384.4870
MEM 73.832031 1676512384.5914
MEM 73.832031 1676512384.6959
MEM 73.832031 1676512384.7994
MEM 73.832031 1676512384.9035
MEM 73.832031 1676512385.0071
MEM 73.832031 1676512385.1110
MEM 73.832031 1676512385.2157
MEM 73.832031 1676512385.3194
MEM 73.832031 1676512385.4239
MEM 73.832031 1676512385.5278
MEM 73.832031 1676512385.6311
MEM 73.832031 1676512385.7350
MEM 73.832031 1676512385.8399
MEM 73.832031 1676512385.9439
MEM 73.832031 1676512386.0478
MEM 73.832031 1676512386.1516
MEM 73.832031 1676512386.2552
MEM 73.832031 1676512386.3599
MEM 73.832031 1676512386.4644
MEM 73.832031 1676512386.5677
MEM 73.832031 1676512386.6719
MEM 73.832031 1676512386.7756
MEM 73.832031 1676512386.8776
MEM 73.832031 1676512386.9818
MEM 73.832031 1676512387.0868
MEM 73.832031 1676512387.1909
MEM 73.832031 1676512387.2936
MEM 73.832031 1676512387.3952
MEM 73.832031 1676512387.4986
MEM 73.832031 1676512387.6005
MEM 73.832031 1676512387.7006
MEM 73.832031 1676512387.8052
MEM 73.832031 1676512387.9090
MEM 73.832031 1676512388.0107
MEM 73.832031 1676512388.1154
MEM 73.832031 1676512388.2201
MEM 73.832031 1676512388.3208
MEM 73.832031 1676512388.4220
MEM 73.832031 1676512388.5262
MEM 73.832031 1676512388.6277
MEM 73.832031 1676512388.7285
MEM 73.832031 1676512388.8287
